customer_id,credit_score,country,gender,age,balance,products_number,tenure,credit_card,active_member,estimated_salary,high_balance_flag,low_activity_risk,salary_balance_ratio,churn
15634602,619,France,Female,42,0,1,two,1,1,101348.88,0,0,0,1
15647311,608,Spain,Female,41,83807.86,1,one,0,1,112542.58,0,0,0.744676904,0
15619304,502,France,Female,42,159660.8,3,eight,1,0,113931.57,1,0,1.401374527,1
15701354,699,France,Female,39,0,2,one,0,0,93826.63,0,0,0,0
15737888,850,Spain,Female,43,125510.82,1,two,1,1,79084.1,1,0,1.587055046,0
15574012,645,Spain,Male,44,113755.78,2,eight,1,0,149756.71,1,0,0.759603894,1
15592531,822,France,Male,50,0,2,seven,1,1,10062.8,0,0,0,0
15656148,376,Germany,Female,29,115046.74,4,four,1,0,119346.88,1,0,0.963969397,1
15792365,501,France,Male,44,142051.07,2,four,0,1,74940.5,1,0,1.895518044,0
15592389,684,France,Male,27,134603.88,1,two,1,1,71725.73,1,0,1.876647055,0
15767821,528,France,Male,31,102016.72,2,six,0,0,80181.12,1,0,1.272328448,0
15737173,497,Spain,Male,24,0,2,three,1,0,76390.01,0,0,0,0
15632264,476,France,Female,34,0,2,ten,1,0,26260.98,0,0,0,0
15691483,549,France,Female,25,0,2,five,0,0,190857.79,0,0,0,0
15600882,635,Spain,Female,35,0,2,seven,1,1,65951.65,0,0,0,0
15643966,616,Germany,Male,45,143129.41,2,three,0,1,64327.26,1,0,2.225019533,0
15737452,653,Germany,Male,58,132602.88,1,one,1,0,5097.67,1,1,26.01244882,1
15788218,549,Spain,Female,24,0,2,nine,1,1,14406.41,0,0,0,0
15661507,587,Spain,Male,45,0,1,six,0,0,158684.81,0,1,0,0
15568982,726,France,Female,24,0,2,six,1,1,54724.03,0,0,0,0
15577657,732,France,Male,41,0,2,eight,1,1,170886.17,0,0,0,0
15597945,636,Spain,Female,32,0,2,eight,1,0,138555.46,0,0,0,0
15699309,510,Spain,Female,38,0,1,four,1,0,118913.53,0,1,0,1
15725737,669,France,Male,46,0,2,three,0,1,8487.75,0,0,0,0
15625047,846,France,Female,38,0,1,five,1,1,187616.16,0,0,0,0
15738191,577,France,Male,25,0,2,three,0,1,124508.29,0,0,0,0
15736816,756,Germany,Male,36,136815.64,1,two,1,1,170041.95,1,0,0.804599336,0
15700772,571,France,Male,44,0,2,nine,0,0,38433.35,0,0,0,0
15728693,574,Germany,Female,43,141349.43,1,three,1,1,100187.43,1,0,1.410849944,0
15656300,411,France,Male,29,59697.17,2,zero,1,1,53483.21,0,0,1.116185248,0
15589475,591,Spain,Female,39,0,3,three,1,0,140469.38,0,0,0,1
15706552,533,France,Male,36,85311.7,1,seven,0,1,156731.91,0,0,0.544316087,0
15750181,553,Germany,Male,41,110112.54,2,nine,0,0,81898.81,1,0,1.344494993,0
15659428,520,Spain,Female,42,0,2,six,1,1,34410.55,0,0,0,0
15732963,722,Spain,Female,29,0,2,nine,1,1,142033.07,0,0,0,0
15794171,475,France,Female,45,134264.04,1,zero,1,0,27822.99,1,1,4.825651017,1
15788448,490,Spain,Male,31,145260.23,1,three,0,1,114066.77,1,0,1.273466672,0
15729599,804,Spain,Male,33,76548.6,1,seven,0,1,98453.45,0,0,0.77751059,0
15717426,850,France,Male,36,0,1,seven,1,1,40812.9,0,0,0,0
15585768,582,Germany,Male,41,70349.48,2,six,0,1,178074.04,0,0,0.395057472,0
15619360,472,Spain,Male,40,0,1,four,1,0,70154.22,0,1,0,0
15738148,465,France,Female,51,122522.32,1,eight,0,0,181297.65,1,1,0.675807546,1
15687946,556,France,Female,61,117419.35,1,two,1,1,94153.83,1,0,1.247101154,0
15755196,834,France,Female,49,131394.56,1,two,0,0,194365.76,1,1,0.67601701,1
15684171,660,Spain,Female,61,155931.11,1,five,1,1,158338.39,1,0,0.984796612,0
15754849,776,Germany,Female,32,109421.13,2,four,1,1,126517.46,1,0,0.864869797,0
15602280,829,Germany,Female,27,112045.67,1,nine,1,1,119708.21,1,0,0.935989854,1
15771573,637,Germany,Female,39,137843.8,1,nine,1,1,117622.8,1,0,1.171913949,1
15766205,550,Germany,Male,38,103391.38,1,two,0,1,90878.13,1,0,1.137692644,0
15771873,776,Germany,Female,37,103769.22,2,two,1,0,194099.12,1,0,0.534619734,0
15616550,698,Germany,Male,44,116363.37,2,ten,1,0,198059.16,1,0,0.587518245,0
15768193,585,Germany,Male,36,146050.97,2,five,0,0,86424.57,1,0,1.689924173,0
15683553,788,France,Female,33,0,2,five,0,0,116978.19,0,0,0,0
15702298,655,Germany,Male,41,125561.97,1,eight,0,0,164040.94,1,1,0.765430691,1
15569590,601,Germany,Male,42,98495.72,1,one,1,0,40014.76,0,1,2.461484712,1
15760861,619,France,Male,43,125211.92,1,one,1,1,113410.49,1,0,1.104059422,0
15630053,656,France,Male,45,127864.4,1,five,1,0,87107.57,1,1,1.467890793,0
15647091,725,Germany,Male,19,75888.2,1,zero,0,0,45613.75,0,1,1.663713244,0
15623944,511,Spain,Female,66,0,1,four,1,0,1643.11,0,1,0,1
15804771,614,France,Male,51,40685.92,1,four,1,1,46775.28,0,0,0.869816707,0
15651280,742,Germany,Male,35,136857,1,five,0,0,84509.57,1,1,1.61942606,0
15773469,687,Germany,Female,27,152328.88,2,nine,0,0,126494.82,1,0,1.204230181,0
15702014,555,Spain,Male,33,56084.69,2,one,0,0,178798.13,0,0,0.313676043,0
15751208,684,Spain,Male,56,78707.16,1,eight,1,1,99398.36,0,0,0.7918356,0
15592461,603,Germany,Male,26,109166.37,1,four,1,1,92840.67,1,0,1.175846426,0
15789484,751,Germany,Female,36,169831.46,2,six,1,1,27758.36,1,0,6.118209433,0
15696061,581,Germany,Female,34,101633.04,1,one,1,0,110431.51,1,1,0.920326454,0
15641582,735,Germany,Male,43,123180.01,2,ten,1,1,196673.28,1,0,0.626317973,0
